date,open,high,low,close
1717516800,0.00027553,0.00029400,0.00027501,0.00028956
1717520400,0.00028958,0.00029199,0.00028316,0.00029060
1717524000,0.00029060,0.00029360,0.00028658,0.00028987
1717527600,0.00028986,0.00028999,0.00028210,0.00028701
1717531200,0.00028701,0.00029805,0.00028494,0.00029464
1717534800,0.00029465,0.00029558,0.00028819,0.00028947
1717538400,0.00028948,0.00030500,0.00028802,0.00030112
1717542000,0.00030112,0.00030131,0.00029370,0.00029569
1717545600,0.00029569,0.00030620,0.00029238,0.00030479
1717549200,0.00030476,0.00032851,0.00030406,0.00032827
1717552800,0.00032825,0.00034344,0.00032366,0.00033456
1717556400,0.00033456,0.00033959,0.00033065,0.00033732
1717560000,0.00033732,0.00033942,0.00032216,0.00032689
1717563600,0.00032689,0.00033666,0.00032088,0.00033304
1717567200,0.00033304,0.00033450,0.00032838,0.00033324
1717570800,0.00033321,0.00034900,0.00033243,0.00033404
1717574400,0.00033405,0.00033616,0.00032476,0.00032792
1717578000,0.00032792,0.00033143,0.00032332,0.00032725
1717581600,0.00032725,0.00033093,0.00032311,0.00032675
1717585200,0.00032673,0.00032997,0.00032500,0.00032732
1717588800,0.00032731,0.00033450,0.00031735,0.00032372
1717592400,0.00032372,0.00033056,0.00032366,0.00032635
1717596000,0.00032635,0.00032892,0.00031446,0.00031967
1717599600,0.00031967,0.00032177,0.00031380,0.00031706
1717603200,0.00031701,0.00031742,0.00030240,0.00030422
1717606800,0.00030422,0.00031324,0.00030353,0.00031116
1717610400,0.00031114,0.00031115,0.00030568,0.00030783
1717614000,0.00030784,0.00031095,0.00030356,0.00030910
1717617600,0.00030911,0.00031000,0.00030638,0.00030871
1717621200,0.00030872,0.00030872,0.00030500,0.00030611
1717624800,0.00030611,0.00030804,0.00030445,0.00030744
1717628400,0.00030745,0.00031110,0.00030689,0.00030944
1717632000,0.00030943,0.00031321,0.00030748,0.00031218
1717635600,0.00031218,0.00032158,0.00030980,0.00031643
1717639200,0.00031638,0.00031779,0.00030950,0.00031388
1717642800,0.00031391,0.00031404,0.00030977,0.00031149
1717646400,0.00031149,0.00031772,0.00031058,0.00031666
1717650000,0.00031666,0.00031674,0.00030827,0.00031119
1717653600,0.00031116,0.00031351,0.00030896,0.00031138
1717657200,0.00031137,0.00031572,0.00031045,0.00031449
1717660800,0.00031455,0.00031600,0.00030838,0.00031147
1717664400,0.00031148,0.00031555,0.00030419,0.00031331
1717668000,0.00031331,0.00031950,0.00031141,0.00031928
1717671600,0.00031929,0.00032712,0.00031537,0.00032539
1717675200,0.00032540,0.00032856,0.00031479,0.00031600
1717678800,0.00031599,0.00032207,0.00031196,0.00031814
1717682400,0.00031815,0.00032408,0.00031512,0.00032328
1717686000,0.00032328,0.00032337,0.00031608,0.00031771
1717689600,0.00031766,0.00032132,0.00031249,0.00031514
1717693200,0.00031514,0.00031573,0.00031160,0.00031326
1717696800,0.00031323,0.00031344,0.00031003,0.00031060
1717700400,0.00031060,0.00031067,0.00030501,0.00030567
1717704000,0.00030564,0.00032126,0.00030323,0.00031960
1717707600,0.00031957,0.00032750,0.00031618,0.00032276
1717711200,0.00032277,0.00032639,0.00031930,0.00032394
1717714800,0.00032394,0.00032800,0.00031920,0.00032051
1717718400,0.00032055,0.00032636,0.00032047,0.00032164
1717722000,0.00032162,0.00032470,0.00031645,0.00031974
1717725600,0.00031973,0.00032229,0.00031300,0.00031458
1717729200,0.00031457,0.00031585,0.00031129,0.00031440
1717732800,0.00031440,0.00031715,0.00031200,0.00031393
1717736400,0.00031393,0.00031558,0.00031100,0.00031334
1717740000,0.00031333,0.00031451,0.00031017,0.00031207
1717743600,0.00031207,0.00031218,0.00030964,0.00031101
1717747200,0.00031099,0.00031726,0.00030909,0.00031472
1717750800,0.00031476,0.00031484,0.00031021,0.00031179
1717754400,0.00031178,0.00031200,0.00030696,0.00031009
